campaign_id,name,tags
26,F/A-18C Hornet - The Serpent's Head 2 Campaign by Badger 633,"the ""serpents head 2"" is a 10 mission campaign for the f/a-18c hornet it comprises the next chapter of the previous 6 mission ""serpents head"" campaign already released and still available in the dcs user files as before it is a story-based campaign following the exploits of ""ford"" he is currently still stationed on the uss john c stennis the heart of the task force in the last campaign they had been sent to the black sea to address a regional conflict in this new campaign his flying skills and effective operation of the hornets weapons will be tested even further the campaign ethos as before is not to capture reality but create an imaginative enjoyable and engaging set of missions linked together with a plot narrative it has been designed with vr in mind including f10 menu items allowing coordinates given over the radio to be recalled back on screen it has taken many hours to complete over many months and includes over 400 actor voice files for these many thanks to ""reflected""""@alexander_dex"" and "" cdr ""curveball"" krotchety"" included are pdf briefs for each mission which should be read prior ""even as ""fords"" thoughts are homeward bound things are about to change in a way even he could not have anticipated"" english english"
27,F-86F Hunters over the Yalu Campaign by Reflected Simulations,"it's early 1953 after completing several tours in wwii you're yet again putting your neck on the line by flying dangerous combat missions over north korea command the 67th fighter bomber squadron attack enemy bridges factories strafe supply columns and support the us troops as they fight their fierce battles on the ground survive the heavy flak and fighter attacks then transfer to the legendary 39th fighter interceptor squadron to carry out large fighter sweeps in mig alley over the yalu river and tangle with massive bandit trains in the stratosphere watch out for the honchos they say casey jones is back in business! key features '12 realistic missions to be flown as the squadron leader of the 67th fbs and the 39th fis' 'sequel of the ""blue nosed bastards of bodney"" campaign although not mandatory' 'a detailed background story mission contexts and checklists' 'detailed briefings and briefing images including separate pdf mission descriptions' 'unique kneeboard graphics for each mission' 'over 300 custom recorded voice-over messages and radio broadcasts' 'historically accurate custom skins' 'a wide array of missions including cas bombing fighter sweep escort and scramble' english english"
28,UH-1H Worlds Apart - Spring 2025 Campaign by Low-Level-Heaven Mission Development,"a story-driven campaign consisting of you in the role of a german bell uh-1h helicopter pilot serving in the ""wolf pack"" squadron a unit of the german light aircraft group (heeresflieger) you are part of a four-person crew consisting of your commanding officer peter berger the two gunners hans and tom and you as the right seat pilot fly combined missions with your squadron leader wolf one and other helicopter and aircraft units missions are with other air and ground forces as well as naval units from different countries you will conduct transport missions as well as armed patrol and day and night combat missions in all weather conditions key features '12 challenging missions' 'more than 1400 voice overs' 'voice actors with an american german and russian accents' 'and more than 170 pages of detailed documentation' 'find mission-relevant information integrated into the kneeboard files' english english"
29,Bf 109 K-4 Jagdflieger Campaign by Reflected Simulations,"it's march 1944 the beginning of the end the reich has become a fortress without a roof the large formations of allied four motors have become daily visitors come join the german luftwaffe in these dire times jump into one of jg26's messerschmitt bf-109-s and find out what it’s like to attack the ""fat cats"" head on or to take off in a hail of bullets from the attacking mustangs watch the allied forces land on the beaches of normandy and support the retreating wehrmacht let all the details immerse you in this semi-historical campaign and make you feel like a young jagdflieger fighting a lost battle where like 1944 survival is the most you can hope for key features '12 semi-historical missions focusing on jg26 from march to july 1944' 'a detailed background story mission contexts and checklists' 'detailed briefings and briefing images including separate pdf mission files' 'unique kneeboard graphics for each mission' 'over 250 specially recorded voice-over messages and radio broadcasts' 'historically accurate custom skins' 'a wide array of missions including free hunt intercept bomber escort and ground attack' english english"
30,F/A-18C Aggressors BFM Campaign by Maple Flag Missions,"the f/a-18c aggressors bfm campaign puts you in the cockpit of an fa-18c hornet as a new aggressor pilot with vfc-12 the ""fighting omars"" on loan to the 65th aggressor squadron at nellis air force base based on real world procedures you will fly as red air against blue air forces upon arrival you will fly a familiarization flight around the nevada test and training range (nttr) then you will face a series of challenging basic fighter maneuver (bfm) missions against similar and dis-similar aircraft 'your opponents include the f-4e f-5e f-14a f-15c f-15e f-16c f/a-18c m-2000c mig-29g cf-188 mig-21 and su-27' 'additionally there are 12 single player practice missions with in-air starts so you can perfect your bfm tactics techniques and procedures' 'there are over 1000 voice-overs and over 45 pages of briefing material including the red flag spins red forces in flight guide maps diagrams custom knee-boards and mission data cards' english english"
31,The Enemy Within 3.0 Campaign by Baltic Dragon,"the enemy within 30 is a complete remake of the critically-acclaimed the enemy within campaign for the a-10c warthog this story-driven campaign puts you in cockpit of the warthog as part of a small 6-ship us detachment sent to georgia your mission is to help contain a growing threat from a terrorist organization calling itself the ""caucasus liberation army"" (cla) as the story unfolds you will be faced with a variety of challenges including close air support precision strikes combat search and rescue anti-ship strikes and even air to air combat striving to be as realistic as possible the units featured in the campaign are based on their real-life counterparts it also uses a sophisticated radio control system meaning that you must tune your on-board radios to the correct frequency to hear the more than 2000 custom voiceovers available throughout 21 missions compared to the original campaign version 30 offers following great additions and changes '20 out of 21 missions have been rewritten from scratch this includes the course of action dialogues briefings and background information' 'more than 2/3 of the missions take place in different locations than the original ones and most feature different challenges and enemies to provide a completely new experience 3 entirely new missions that are designed to complement and extend the storyline' 'the 8 pilot and 3 commander characters featured throughout the campaign have almost 4x more custom voiceovers over 2100' 'additional documents and custom kneeboard pages are available for each sortie' english english"
32,P-51D: The Blue Nosed Bastards of Bodney Campaign by Reflected Simulations,become a member of the most famous fighter unit of the usaaf take part in escorting large bomber formations support the ground troops after d-day or engage the luftwaffe over the snowy hills of the ardennes the blue nosed bastards of bodney is a semi-historical campaign for the p-51d mustang it follows the 352nd fighter group from may 1944 through the normandy landings until operation bodenplatte in january 1945 this campaign has a plethora of details and easter eggs to make you feel like a young american flyboy in the army air forces in 1944 key features for more information and support please visit to dedicated section of reflected simulations on the dcs forum '14 semi-historical missions focusing on the 352nd fighter group' 'a detailed background story mission contexts checklists and encounter reports' 'detailed briefings and briefing images including separate pdf mission files' 'unique kneeboard graphics and checklists for each mission' 'hundreds of specially recorded voice-over messages and radio broadcasts' 'historically accurate custom skins' 'a wide array of missions including fighter sweep bomber escort armed reconnaissance and ground attack' english english
33,Combined Arms: Frontlines Georgia Campaign,the combined arms frontlines georgia campaign is the first all combined arms single player campaign in this campaign you will experience many different aspects of combined arms combat in dcs world from commanding a large number of units over a number of different objectives to sitting in a tank and commanding a platoon of tanks from the driver's seat key features with ca frontlines we hope you will learn and enjoy playing dcs combined arms in ways you might not have ever thought about before '11 story driven missions with supplemental missions if you have a stumble along the way' 'command various ground units from armor to transport' 'freedom to set up your air units load-outs before the mission starts' '35+ unique voice overs' english english
34,Spitfire IX The Big Show Campaign by Reflected Simulations,put on pierre clostermann’s irvin jacket climb into his spitfire mkix and experience the massive air battles in the skies of western europe described in his similarly titled book this campaign follows clostermann’s career from april 1943 to july 1944 through 12 missions that recreate his memoirs down to the smallest details such as time weather squadrons and even radio transmissions find out what it feels like to fly with the biggin hill wing in a huge formation of spitfires to follow commandant mouchotte into gigantic melees against 30+ focke-wulfs to take part in rodeos circuses and attacks on v-1 launch sites or to support the ground troops after the d-day landings all clear? switches on! key features '12 historical missions following pierre clostermann during his time with 341 and 602 squadron' 'detailed briefings maps and briefing images including separate pdf mission files with historical backgrounds' 'unique kneeboard graphics and checklists for each mission' 'historically accurate custom skins' 'hundreds of specially recorded voice-over messages' 'a wide array of missions including fighter sweep bomber escort armed reconnaissance and ground attack' english english
35,Mi-8MTV2 and Ka-50: Memory of a Hero Campaign by Stone Sky,the memory of the hero campaign follows the story of helicopter pilot sergey pavlovich borisov being an honored sniper and research helicopter pilot and a hero of the soviet union and russia this campaign explores his experiences in the mi-8mtv2 and the ka-50 black shark the campaign is full of danger and exciting moments as you relive some of his more harrowing experiences! the campaign consists of more than 16 missions that include the action is told through a griping story narrative with an original soundtrack by the last haven 'work for a large siberian transport airline' 'transport workers and repair crews to oil deposits' 'take part in the abkhaz-georgian war of 1993 while flying the then-secret ka-50 attack helicopter' 'participate in intelligence gathering activities over georgian territory prior to the conflict in south ossetia do so in concert with the help of special fss equipment and direct support from the foreign intelligence service fis' 'perform ka-50 counter-terror operations in the southern caucasus region and along the georgian boarder' 'take part in rescue operations over the black sea in an mi-8mtv2' english russian english russian
36,M-2000C Red Flag Campaign by Baltic Dragon,"the m-2000c red flag campaign is a story-driven campaign that takes place during an extraordinary red flag exercise at the nevada test and training range (nttr) the campaign backstory revolves around growing hostilities between iran and its neighbors and a partially successful coup that takes place in the united arab emirates effectively splitting the country in two you will take on the role of a deputy commander of a 10-ship strong detachment of m-2000c interceptors from the 02005 fighter squadron ""île-de-france"" in preparation for war in the persian gulf your detachment and those from the united states germany the united kingdom poland and the netherlands will spend two weeks at the nttr to hone your skills all of the missions are based on extensive research of actual red flag exercises and will each include interesting facts and stories from previous runnings of the exercise features for more information and support please visit baltic dragon forums '16 story-driven missions' 'over 3000 voiceovers performed by more than 40 voice actors' 'returning characters from the m-2000c caucasus campaign' 'highly detailed mission briefings maps and other documents that includes air tasking orders and data sheets based on actual counterparts use by the us and french air forces' 'many of interesting background facts and stories from past red flag exercises' english english"
37,L-39 Albatros: Kursant Campaign,"the l-39 albatros kursant campaign is a single-player campaign for the l-39c/za aircraft you will learning basic and advanced points all flights are performed under the supervision of a virtual-instructor after each flight he will decide whether or not you progress to the next mission based on your performance at the conclusion to the training missions an evaluation flight will be performed to determine how well you have learned the skills of l-39 navigation and combat employment main features of this campaign 'low altitude navigation training' 'learning aerial reconnaissance using real-life tactics' 'detailed instruction on bomb rocket and gun weapon delivery against ground targets following realistic ingress maneuvers' 'interception of aerial targets with r-60 air-to-air missiles' '11 highly-detailed and realistic missions that are based on actual l-39 training requirements' 'missions start and end on the parking ramp which creates an immersive atmosphere of being a ""kursant"" cadet at the flight school' 'detailed briefings flight plans and virtual instructor pilot help you successfully complete this training course' english russian english russian"
38,F-15C Aggressors BFM Campaign by Maple Flag Missions,the f-15c aggressors bfm campaign puts you in the cockpit of an f-15c eagle as a new aggressor pilot with the 65th aggressor squadron at nellis air force base based on real world procedures you will fly as red air against blue air forces upon arrival you will fly a familiarization flight around the nevada test and training range (nttr) then you will face a series of challenging basic fighter maneuver (bfm) missions against similar and dis-similar aircraft your opponents include the f-4e f-14a f-15c f-15e f-16c f/a-18c m-2000c mig-29g cf-188 and mig-21 additionally there are 10 single player practice missions with in-air starts so you can perfect your bfm tactics techniques and procedures there are over 1000 voiceovers and over 45 pages of briefing material including the f-15c amplified checklist red flag spins red forces in flight guide maps diagrams custom kneeboards and mission data cards english english
39,P-51D Charnwood Campaign by B&W Campaigns,created by the same team behind the spitfire lf mkix epsom campaign the charnwood campaign is a historically-based campaign for the p-51d mustang over normandy in july 1944 the charnwood campaign reproduces p-51d missions flown in support of the allied breakout of normandy and the eventual capture of caen given the mustang’s combination of air-to-air and air-to-ground capabilities (bombs and rockets) this campaign offers a wealth of mission types and challenges each mission is based on a real missions down to the weather mission times squadrons mission tasks and allied and axis locations key features '12 historic missions taken from detailed accounts of operation charnwood' 'detailed briefing and briefing images including separate pdf mission files' 'unique kneeboard graphics for each mission' 'hundreds of specially recorded voice-over messages to recreate the actual callsigns and accents' 'a wide array of missions included armed reconnaissance rail interdiction and ground attack' 'takes advantage of new ai features like flak avoidance authentic formations and improve artificial intelligence for air and ground units' english english russian
40,F-15C The Georgian War Сampaign by Baltic Dragon,this campaign puts you in the role of a pilot who arrives in tbilisi as part of a small detachment intended to present the capabilities of the f-15c to the georgian government which has expressed interest in purchasing several airframes you and your colleagues are caught by surprise when armed conflict breaks out as the fighting escalates your small group is drawn into the war throughout the campaign's 16 missions the authors recreate some of the real-life events that happened between the 8th and 13th of august 2008 the fictionalized events presented in this campaign are based on extensive research from numerous western and russian publications interviews with people who were directly involved on both sides and several visits to the abl (administrative boundary line) with south ossetia the campaign aims to capture the pivotal moments of the 2008 war from a military perspective key features '16 story - driven missions with some factual events from the 2008 russo - georgian war in the background' 'historically - accurate descriptions of the situation on the ground and on the front line for the specific date and time when the mission takes place' 'extensive briefings based on real life fragos fragmentary orders as well as tactical maps' 'over 1500 custom voice-overs and thousands of triggers' english english
41,Spitfire LF Mk. IX Operation Epsom Campaign by B&W Campaigns,"fly the legendary spitfire lf mk ix over normandy in june 1944 as the allies attempt to break out of the d-day landing beachheads battle german forces in the air and on the ground as the allies push south over 12 missions south of the juno and gold landing beaches the missions consist of a combination of armed reconnaissance intercepts and directed ground attacks for this campaign we teamed up with the greatly respected ""bunyap"" who has created an amazing level of detail and content for the briefings and historical background all missions and flights in the campaign are based on actual missions down to the squadrons targets locations times weather flak locations etc we believe this will be the most historically accurate portrayal of world war ii air combat in a pc flight simulation key features '12 historic missions taken from detailed accounts of operation epsom' 'detailed briefing and briefing images including separate pdf mission files' 'unique kneeboard graphics for each mission' 'hundreds of specially recorded voice-over messages to recreate the actual callsigns and accents' 'a wide array of missions included armed reconnaissance intercepts and ground attack' 'takes advantage of new ai features like flak avoidance and authentic formations' english english russian"
42,A-10C Tactical Training Qualification Campaign by Maple Flag Missions,based on real world qualification requirements you will fly 15 performance check rides to execute against pre-defined performance objectives if successful you will rate a qualified rating and proceed to the next performance objective the campaign covers a number of key areas including fac & jtac coordination stationary and moving target tasking danger close tasking sead tasking deep interdiction tasking day & night and deep interdiction special forces coordination in addition you will work with additional cas assets and cover sadl datalink engagement cas mission management day & night battlefield air interdiction mission management day & night and combat search and rescue (csar) mission management day & night culminating in a final simulated combat mission using everything you have learned in the previous missions additionally 15 single player practice missions are provided so you can perfect your tactics techniques and procedures there are over 1300 voiceovers and over 470 pages of briefing material including the a-10c amplified checklist blue force in flight guide operation agile spirit spins maps target diagrams mission data cards and custom kneeboards english english
43,Mi-8MTV2 Oilfield Campaign by Dmitry Koshelev,"meet a group of old friends captain jury maksimovich protasov and his mi-8mtv2 crew after the events of the ""spring tension"" conflict they are again in business together however this time they are gainfully employed as cargo transportation contractors serving the interests of the oil industry rather than combat this campaign will test your knowledge of the mi-8mtv2 navigation suite in order to locate oil derricks scattered over the forests challenge yourself as a cargo pilot and never have to worry about being shot at again! crew moto ""not a day without drama!"" (с) crew chief andrey main features 'based on a real-life helicopter pilot missions' '16 full-scale missions' 'various cargos and mission task situations' 'landing in a different locations and weather conditions' 'over 350 scripted radio messages' 'voice overs for helicopter startup procedures' 'briefing with flight chart maps' 'flight charts are included pilot’s kneeboard' 'english and russian localization - voice overs and subtitles' english english"
44,UH-1H Argo Campaign by 373vFS Greg,"you and argo's crew have just sailed towards the black sea for the needs of nato ""sea breeze"" exercise nato is very cautious and takes extra protection measures since it is believed that small isil terrorist groups have infiltrated georgia by exploiting the refugee waves coming from turkey your huey’s performance in the exercise will define its future in the hellenic navy as military analysists doubt its competence in a modern naval environment the eyes of the whole fleet are on you and your chopper are you up for the task? ""argo"" campaign features '15 story-driven realistic missions' '+300 custom voiceovers' '+100 pages of detailed briefings maps & storyline' english english"
45,F-5E Aggressors Air Combat Maneuver Campaign by Maple Flag Missions,the f-5e aggressors acm campaign puts you in the cockpit of an f-5e tiger ii as a new aggressor pilot with the 65th aggressor squadron at nellis air force base based on real world procedures you will fly as red air against blue air forces you will face a series of challenging air combat maneuver (acm) missions against dis-similar aircraft your opponents include the f-4e f-5e f-14a f-15c f-15e f-16c f/a-18c m-2000c mig-29g cf-188 mig-21 and unknown additionally there are 11 single player practice missions with in-air starts so you can perfect your acm tactics and techniques 'there are over 1800 voiceovers and 49 pages of briefing material including the red flag spins red forces in flight guide' 'maps diagrams custom kneeboards and mission data cards' english english
46,A-10C Stone Shield Campaign,prepare yourself to face with the following tasks the a-10c stone shield campaign offers you a variety of challenging missions in which you must not only act as a tank killer but also operate as a sniper making one shot and one kill engagements 'providing precision airstrikes against enemy targets' 'supporting special ops teams in tracking down and capturing dangerous militants' 'providing on-call close air support for friendly forces and much more' english english
47,The Border Campaign by Armen Murazyan,"features of the border campaign '15 adventurous single player missions' ""206 voiced radio dialogues in the campaign's missions"" 'detailed mission briefings with flight plan pictures' 'russian localization includes voiceovers and subtitles' 'english localization includes subtitles' english english"
48,F-5E Aggressors Basic Fighter Maneuvers Campaign by Maple Flag Missions,the f-5e aggressors bfm campaign puts you in the cockpit of an f-5e tiger ii as a new aggressor pilot with the 65th aggressor squadron at nellis air force base based on real world procedures you will fly as red air against blue air forces upon arrival you will fly a familiarization flight around the nevada test and training range (nttr) then you will face a series of challenging basic fighter maneuver (bfm) missions against similar and dis-similar aircraft your opponents include the f-4e f-5e f-14a f-15c f-16c f/a-18c m-2000c mig-29g cf-188 and mig-21 'there are over 1000 voiceovers and over 45 pages of briefing material including the red flag spins red forces in flight guide' 'maps diagrams custom kneeboards and mission data cards' english english
49,A-10C Advanced Aircraft Training Qualification Campaign by Maple Flag Missions,based on real world qualification requirements you will fly 10 performance check rides to execute against pre-defined performance objectives if successful you will rate a qualified rating and proceed to the next performance objective 'the campaign covers a number of key areas including air to air refueling day and night countermeasures and threat avoidance target area ingress preparation illumination flare employment air to air gun and missile employment air to ground gun & rocket employment unguided and guided bomb employment and missile employment' 'there are over 1200 voiceovers and over 206 pages of briefing material including the a-10c amplified checklist maps target diagrams and mission data cards' 'additionally 10 practice missions are included so you can perfect your tactics techniques and procedures ttps prior to taking the qualification check rides' english english
50,A-10C Operation Piercing Fury Campaign by Ranger79,"operation piercing fury (opf) is a story driven campaign consisting of you leading a forwarded deployed a-10c warthog ""hawg"" flight in the georgian area of operations (ao) you will be assigned to and commanded by the joint special operations command providing direct support to conventional and non-conventional coalition forces in the region against al-doran and special purpose islamic army extremist groups your skills will be tested as you execute on-call close air support (cas) combat search and rescue assist in capture-or-kill missions and provide cas for air-assault raids by special forces teams throughout the region the campaign puts you directly into the action with many missions based off real-world scenarios operations and tactics opf enables you to experience the unique perspective of being in a combat zone based on realistic communications force protection forward operation bases combat outposts and insight from the campaign creator ranger79; a united states air force combat veteran of operation joint forge operation southern watch operation enduring freedom and operation iraqi freedom feel the adrenaline rush providing close air support in the ao! features of ""operation piercing fury"" '15 action-packed story driven missions' 'over 700+ custom voiceovers' '200+ pages of detailed operations orders / supporting documentation' english english"
51,The Museum Relic Campaign by Apache600,"features of ""the museum relic"" 'choose to fly the campaign as either the mig-15 or the f-86' '22 story driven missions which will push your abilities in high/low altitude and airspeed flight envelopes aerial gunnery ground attacks and navigation' 'each campaign has its own unique mission briefings flt plan pages and voice overs that coincide with the selected aircraft' 'over 160 pages of mission briefings and flt plan pages' 'also more than 400 custom voice overs by 17 different voice actors' 'custom made livery for both the mig-15 and the f-86' english english"
52,P-51D High Stakes Campaign by Dmitry Koshelev,in order to fully complete each mission and proceed to the next vasily will need to land his mustang at the assigned point at the conclusion of each mission additionally due to the plot of the story vasily will need to take care of his mustang and minimize damage to proceed through the story all of vasily's missions include detailed briefings and mission map graphics each mission also includes kneeboard briefing and map pages are you ready to join vasily on this epic journey? english english
53,A-10C Basic Flight Training Campaign by Maple Flag Missions,based on real world qualification requirements you will fly 12 performance check rides to execute against pre-defined performance objectives if successful you will rate a qualified rating and proceed to the next performance objective you will be rated on the following areas and these results will form your final rating the campaign covers a number of key areas including start-up and shutdown takeoffs and landings traffic patterns basic advanced and aerobatic maneuvers emergencies formation flying and instrument flight plan navigation there are over 2300 voiceovers and over 170 pages of briefing material including the a-10c amplified checklist maps diagrams and mission data cards 'general knowledge airmanship and safety' 'pre-takeoff and takeoff' 'navigation and maneuvers' 'approach landing and after landing' 'communications and task prioritization' english english
54,A-10C 16-2 Red Flag Campaign,"the a-10c 16-2 red flag campaign is a depiction of flying the a-10c ""warthog"" during a typical red flag exercise in the skies over nevada this campaign includes extensive briefing map and lineup card pdf files for each mission and was designed in consultation with the renowned author steve davies all of the missions are based on input from pilots that have flown in red flag exercises and will provide you a challenge that will test even the most skilled virtual pilots features for those that pre-purchased the nevada map and elected to receive this map for free you will now be able to activate this campaign from the dcs world 20 module manager '10 handcrafted mission that depict number of types of missions a a-10c pilot would fly in a red flag' 'highly detailed mission briefings mission maps and lineup cards as pdf files' 'custom voice overs and hundreds of triggers' 'created in partnership with the author steve davies and f-15c pilots that have flown red flags' english english"
55,F-15C 16-2 Red Flag Campaign,the f-15c 16-2 red flag campaign is a depiction of flying the f-15c eagle during a typical red flag exercise in the skies over nevada this campaign includes extensive briefing map and lineup card pdf files for each mission and was designed in consultation with the renowned author steve davies the authority on the f-15c all of the missions are based on input from real f-15c pilots that have flown in red flag exercises and will provide you a challenge that will test even the most skilled virtual pilots features for those that pre-purchased the nevada map and elected to receive this map for free you will now be able to activate this campaign from the dcs world 20 module manager '10 handcrafted mission that depict number of types of missions a f-15c pilot would fly in a red flag' 'highly detailed mission briefings mission maps and lineup cards as pdf files' 'custom voice overs and hundreds of triggers' 'created in partnership with the author steve davies and f-15c pilots that have flown red flags' english english
57,Black Shark 2 Republic Campaign,"features of the black shark 2 republic campaign requirements minimum system requirements (low graphics settings) os 64-bit windows 7/8/10; directx11; cpu intel core i3 at 28 ghz or amd fx; ram 8 gb (16 gb for heavy missions); free hard disk space 60 gb; discrete video card nvidia geforce gtx 760 / amd r9 280x or better; requires internet activation recommended system requirements (high graphics settings) os 64-bit windows 8/10; directx11; cpu core i5+ at 3+ ghz or amd fx / ryzen; ram 16 gb (32 gb for heavy missions); free hard disk space 120 gb on solid state drive (ssd); discrete video card nvidia geforce gtx 1070 / amd radeon rx vega 56 with 8gb vram or better; joystick; requires internet activation recommended vr systems requirements (vr graphics settings) os 64-bit windows 8/10; directx11; cpu core i5+ at 3+ ghz or amd fx / ryzen; ram 16 gb (32 gb for heavy missions); free hard disk space 120 gb on solid state drive (ssd); discrete video card nvidia geforce gtx 1080 / amd radeon rx vega 64 or better; joystick; requires internet activation this product can be downloaded and installed through the dcs world module manager if you do not have dcs world installed you can download the dcs world web-installer by clicking this link if the product description does not have information about which dcs world version you should install you only need to have the ""stable"" version dcs world installed on your pc requires dcs world version 2715 or above! raven one dominant fury campaign for the f/a-18c hornet is a prequel for the highly acclaimed raven one campaign based on the bestselling novel of the same title developed by baltic dragon all the missions were constructed with the active participation of author of the book kevin miller and vincent ""jell-o"" aiello host of the fighter pilot podcast - both retired us navy hornet pilots each with over 3000 career flight hours and numerous overseas deployments the campaign takes place 3 years before the events described in the novel during a deployment to the eastern mediterranean and offers a variety of different missions from training (faithfully recreating real life sorties flown from the deck of the aircraft carriers) through armed patrols and alert launches to power-projection striked '20 handmade missions with voice-overs' 'hundreds of complex triggers that create an interactive combat environment' 'fully detailed mission briefings and mission maps' 'storyline briefings' english english"
58,Su-27 The Ultimate Argument Campaign,"features of the campaign ""su-27 - the ultimate argument"" '20 storyline missions for a single player' 'more than 300 triggers which allow to create interactive environment' '126 voice-overs in the campaign missions' 'briefing’s art with maps' 'russian and english localizations voice-overs are recorded in russian in the english localization the voices are provided with english subtitles' english english"
